Colaborador,SINPA,STIMAR,STI,SATI,SIGAI,AD,BGP,LEGIS,MULTIPLOS PROJETOS,ENGAJAMENTO PROJETOS,PONTOS,PROMOVIDO
1,0,0,4,1,5,0,0,0,2,2,14,0
2,0,0,0,0,0,0,6,0,0,3,9,0
3,0,2,12,5,0,8,0,0,3,3,33,1
4,0,0,0,0,0,3,7,8,3,3,24,0
5,6,0,0,0,0,13,0,0,3,3,25,0
6,0,0,1,0,0,0,1,0,1,2,5,0
7,0,3,0,0,1,10,8,3,3,3,31,1
8,0,6,0,0,0,2,13,7,3,3,34,1
9,0,0,0,0,0,0,1,0,0,0,1,0
10,0,0,0,0,0,0,7,7,2,1,17,0
11,0,0,0,0,0,2,0,0,0,0,2,0
12,5,0,0,0,0,2,12,6,3,3,31,1
13,0,0,5,5,6,6,0,0,3,2,27,0
14,0,0,6,1,0,0,4,0,2,2,15,0
15,14,0,0,0,0,4,4,0,3,3,28,1
16,0,9,0,0,0,13,14,9,3,3,51,1
