Colaborador,SINPA,STIMAR,STI,SATI,SIGAI,AD,BGP,LEGIS,MULTIPLOS PROJETOS,ENGAJAMENTO PROJETOS,PONTOS
,,,,,,,,,,,
,,,,,,,,,,,
1,0,0,4,1,5,0,0,0,2,2,14
2,0,0,0,0,0,0,12,0,0,3,15
3,0,4,12,5,0,24,0,0,3,3,51
4,0,0,0,0,0,9,14,8,3,3,37
5,12,0,0,0,0,39,0,0,3,3,57
6,0,0,1,0,0,0,2,0,1,2,6
7,0,6,0,0,1,15,8,3,3,3,39
8,0,12,0,0,0,6,26,7,3,3,57
9,0,0,0,0,0,0,2,0,0,0,2
10,0,0,0,0,0,0,14,7,2,1,24
11,0,0,0,0,0,6,0,0,0,0,6
12,10,0,0,0,0,6,24,6,3,3,52
13,0,0,5,5,6,18,0,0,3,2,39
14,0,0,6,1,0,0,8,0,2,2,19
15,28,0,0,0,0,12,8,0,3,3,54
16,0,9,0,0,0,"19,5",14,"4,5",3,3,53
